iter	F1	Logloss
0	0.5673892554	0.6793082522
1	0.5666192508	0.667830478322	0.5659392789	0.662394803	33	0.5666192508	0.65528594	044	0.5659392789	0.64594285	055	0.5659392789	0.64006966	066	0.5602119461	0.63318247	077	0.56	0.6279759872
8	0.5303926842	0.622861048
9	0.5303926842	0.6187285999
10	0.5303926842	0.6167416118
11	0.5303926842	0.6106360765
12	0.5303926842	0.6088577923
13	0.5303926842	0.6039450264
14	0.5303926842	0.6003868024
15	0.5290148448	0.5945618438
16	0.5288227334	0.5889144989
17	0.5288227334	0.5862620265
18	0.526458616	0.5837714425
19	0.526458616	0.5819777145
20	0.526458616	0.5796915506
21	0.5288227334	0.5772451804
22	0.5256584306	0.5753089142
23	0.5280259951	0.574231241
24	0.5280259951	0.572100352
25	0.526458616	0.5703319035
26	0.526458616	0.5697499789
27	0.5288227334	0.5679612016
28	0.5294753921	0.5656419462
29	0.5294753921	0.5648319592
30	0.5271149675	0.5636068066
31	0.5272579333	0.5616366724
32	0.5272875373	0.5609278361
33	0.5271149675	0.5597403214
34	0.5289658906	0.5590947673
35	0.5275142315	0.5585428719
36	0.5276872964	0.5574492082
37	0.5276872964	0.5562760482
38	0.5273172058	0.555759854
39	0.5277173913	0.5553079915
40	0.527203482	0.5551299145
41	0.5274605764	0.5541809868
42	0.5273469388	0.5538922913
43	0.5277475517	0.5534824535
44	0.527604025	0.5525772685
45	0.5269461078	0.5515617628
46	0.5269461078	0.5512629918
47	0.5277475517	0.5508793496
48	0.5273767366	0.5502400588
49	0.5270895726	0.5489626926
50	0.5273767366	0.5488013521
51	0.5265739984	0.5485671702
52	0.526172301	0.5483110746
53	0.52700491	0.5473686679
54	0.5264305177	0.5470442853
55	0.5264305177	0.5463201271
56	0.5265739984	0.5461682093
57	0.5267175573	0.54588975
58	0.5267175573	0.5450935515
59	0.5267175573	0.5440050113
60	0.5267175573	0.5438406703
61	0.5267175573	0.5433582602662	0.5267175573	0.5424432181663	0.5267175573	0.5422530495664	0.5267175573	0.5420466706665	0.5263157895	0.5419007665666	0.526172301	0.541650699
67	0.5264593562	0.5412353206
68	0.5264593562	0.5406018258
69	0.5255394701	0.5403917778
70	0.525136612	0.5403126425
71	0.5258267286	0.5400874687
72	0.524876982	0.53927215
73	0.5250205086	0.5391391937
74	0.5258267286	0.5389178442
75	0.5258267286	0.5387062654
76	0.5254237288	0.5385669376
77	0.525567405	0.5383708278
78	0.5259704757	0.5377828753
79	0.5259704757	0.53766233
80	0.5270344074	0.537477726
81	0.5259421081	0.5368534683
82	0.5259421081	0.5367877679
83	0.5262008734	0.5366630154
84	0.5266030014	0.5364709689
85	0.52700491	0.5363048953
86	0.5272628135	0.5361184198
87	0.527119106	0.5359687012
88	0.5287231146	0.5358273715
89	0.5288671024	0.535672011
90	0.5286103542	0.5355807103
91	0.5286103542	0.5354509455
92	0.5288671024	0.5353630178
93	0.5288671024	0.5352511749
94	0.5290111686	0.5351394927
95	0.5290111686	0.5349367744
96	0.5290111686	0.5347547605
97	0.5288671024	0.534682867
98	0.5282093213	0.5343228242
99	0.5278080698	0.5342368127
100	0.5286103542	0.5340759686
101	0.5282093213	0.5340055641
102	0.5286103542	0.5339317187
103	0.5286103542	0.5338868072
104	0.5286103542	0.5338536201
105	0.5286103542	0.5330986135
106	0.5286415712	0.5329596652
107	0.5284663579	0.5329022142
108	0.5288671024	0.532710624
109	0.5290111686	0.5325503594
110	0.5290111686	0.5324965222
111	0.5302123027	0.5324272961
112	0.5304678999	0.5323095632
113	0.5300680272	0.5321539447
114	0.5296679369	0.5321410277
115	0.5295238095	0.5320545204
116	0.5297797117	0.5319170786
117	0.52923579	0.5318398753
118	0.5304678999	0.5316428375
119	0.5296679369	0.5315903007
120	0.5298121427	0.5315173584
121	0.5311225877	0.5314148629
122	0.5323193916	0.531298928
123	0.5320652174	0.5312376847
124	0.5320652174	0.5311634287
125	0.5322098396	0.5310919004
126	0.5326086957	0.5310008747
127	0.5334057577	0.5309275346
128	0.5323545405	0.5306198677
129	0.5321001088	0.5305392236
130	0.5326441785	0.530356202
131	0.5326441785	0.5302726241
132	0.5318454001	0.5301420592
133	0.5318454001	0.5300433709
134	0.5319553984	0.5298945603
135	0.5319553984	0.5297378387
136	0.5319553984	0.5292566265
137	0.5319553984	0.529149736
138	0.5323545405	0.5291055668
139	0.5332970916	0.5290040938
140	0.5340939962	0.5289214515
141	0.5338039642	0.5287700251
142	0.5351424695	0.5287088797
143	0.5351424695	0.5286706014
144	0.5371273713	0.5285241114
145	0.5369818477	0.5284700242
146	0.5373781148	0.528381062
147	0.5372326022	0.5282926579
148	0.5372326022	0.5282540376
149	0.5376285869	0.5281813195
150	0.5372326022	0.5281209346
151	0.5381700054	0.5280052218
152	0.5372326022	0.5278006204
153	0.5391069012	0.5272690131
154	0.539210384	0.5271927862
155	0.5393562348	0.5271511135
156	0.5382742764	0.527103915
157	0.5383783784	0.5270430401
158	0.5394168467	0.5269805425
159	0.540598867	0.5267509053
