iter	F1	Logloss
0	0.527972028	0.665372297
1	0.5897187197	0.6359024601
2	0.5917893106	0.6084877844
3	0.5921333075	0.5884744559
4	0.5917022102	0.5820187035
5	0.5929667768	0.5725026754
6	0.5910946918	0.569068302
7	0.5927364537	0.5645309881
8	0.5931677019	0.5620127649
9	0.5952755906	0.5565509704
10	0.5950479233	0.5538736963
11	0.5942492013	0.5494124392
12	0.5940914609	0.5476222142
13	0.5939712725	0.5451020659
14	0.5899897855	0.5435402841
15	0.5926530612	0.5421840734
16	0.5917740945	0.5410673694
17	0.5925164474	0.5394426215
18	0.5968371329	0.5384746322
19	0.5944272446	0.5365522634
20	0.5952085915	0.5359248389
21	0.5939368942	0.5342912709
22	0.5951500206	0.531543914
23	0.5967078189	0.5308514623
24	0.5948400413	0.5298343216
25	0.5945945946	0.528784475
26	0.6004523956	0.5276321458
27	0.6002055498	0.5267039343
28	0.6002055498	0.5259791219
29	0.6011916992	0.525294417
30	0.6013555145	0.5247015811
31	0.6050420168	0.5240308314
32	0.6060233559	0.5233884065
33	0.6081440557	0.5226201407
34	0.608784474	0.5219010537
35	0.6083758938	0.5211694046
36	0.6083758938	0.5210196063
37	0.6125356125	0.5202855193
38	0.6134146341	0.519986008
39	0.6136363636	0.5193592007
40	0.61625556	0.5185995904
41	0.6180863948	0.5183112931
42	0.616720517	0.5177776931
43	0.6188557615	0.5174516647
44	0.6194120016	0.5171207025
45	0.6201488035	0.51571728
46	0.6212851406	0.5154308799
47	0.6233974359	0.5147878232
48	0.6257497001	0.5145098953
49	0.6264	0.5133240296
50	0.6268239057	0.5127626385
51	0.6280231861	0.5124639475
52	0.6283203515	0.5122970895
53	0.6291641731	0.5118362628
54	0.6315999203	0.5113083382
55	0.6329617834	0.5106639816
56	0.6329818978	0.5104450559
57	0.633777601	0.5100855311
58	0.6327953776	0.5093768377
59	0.6327953776	0.5089686868
60	0.635387674	0.5084816204
61	0.6401739818	0.5075836395
62	0.6404272152	0.5068194289
63	0.6404272152	0.5068193888
64	0.6414870477	0.5060912907
65	0.6432517758	0.5056265763
66	0.6440410418	0.505543182
67	0.6450592885	0.5051981112
68	0.6446900908	0.5042022952
69	0.6455172414	0.5035914883
70	0.6485849057	0.5030270752
71	0.6487124042	0.5029721611
72	0.6492537313	0.5025715344
73	0.648744113	0.5021123191
74	0.6491365777	0.5018286398
75	0.6494219087	0.5015745419
76	0.6507345739	0.501173587
77	0.6506071289	0.5009294079
78	0.6511445901	0.5003801438
79	0.6542823621	0.499243229
80	0.6545525596	0.4982343052
81	0.655859375	0.497173845
82	0.6569143749	0.4967151983
83	0.6582130316	0.4958561594
84	0.6603075725	0.4954547559
85	0.6626459144	0.4948317074
86	0.6630328986	0.493955112
87	0.6651108518	0.4932936534
88	0.6662779397	0.4925189053
89	0.666407465	0.4923933688
90	0.66562986	0.4919864153
91	0.6652418885	0.4916422836
92	0.6673132881	0.4911894641
93	0.6683456025	0.4901560252
94	0.6727202473	0.4893318368
95	0.6722039791	0.4888494265
96	0.6742526519	0.4881016152
97	0.6767987688	0.4873704711
98	0.6774379688	0.4867095691
99	0.6782073476	0.4860016641
100	0.6811204912	0.4853386194
101	0.6786058155	0.4848866837
102	0.679746105	0.4843763637
103	0.6819142802	0.4837257135
104	0.6803925342	0.4832673609
105	0.6809083911	0.482774619
106	0.6812596006	0.4823914678
107	0.6820542412	0.481652076
108	0.682561046	0.481279222
109	0.6825518832	0.4806734998
110	0.6838066002	0.4799123665
111	0.6838066002	0.4797367286
112	0.6859551638	0.479337793
113	0.6860754645	0.4779638496
114	0.6858017604	0.4774729586
115	0.6877152698	0.4767067979
116	0.6881102814	0.4761706346
117	0.6894706669	0.4751051481
118	0.6894837476	0.4743619541
119	0.6921168162	0.4739307228
120	0.6947248143	0.4728733536
121	0.6952380952	0.4720523268
122	0.6958507804	0.47147844
123	0.6955030488	0.4706067713
124	0.6968601332	0.4697800425
125	0.697338403	0.46935663
126	0.698213607	0.469217203
127	0.6998102467	0.4687332532
128	0.7011755783	0.467775265
129	0.7020671345	0.4669492999
130	0.7018009479	0.4659779074
131	0.7029383886	0.4656821537
132	0.7036546109	0.4654706091
133	0.7032551098	0.4647880181
134	0.7043478261	0.4642610263
135	0.7057267057	0.4639285816
136	0.7057267057	0.4638403516
137	0.7073032648	0.4632549614
138	0.7092519314	0.4626565258
139	0.7101148992	0.4620964225
140	0.7110860154	0.4610662755
141	0.7116541353	0.4607682492
142	0.7131055201	0.4599890157
143	0.7143393393	0.4595566309
144	0.7157579164	0.4589797181
145	0.7147688839	0.4581554023
146	0.7153312066	0.457679118
147	0.7177661169	0.4569956492
148	0.718486608	0.456723814
149	0.7202993452	0.4559518134
150	0.7201646091	0.4554671557
151	0.7202993452	0.4544111335
152	0.7211520479	0.4539343585
153	0.7221080172	0.453204763
154	0.7224505043	0.4525741025
155	0.7222118438	0.4519715219
156	0.7236743839	0.4515445798
157	0.7251025737	0.4509302949
158	0.7255779269	0.4507956977
159	0.7260504202	0.4502063086
160	0.7262882748	0.4494971459
161	0.7256074766	0.4486747045
162	0.7281553398	0.4475750467
163	0.7277819268	0.446864089
164	0.7297146055	0.4462733441
165	0.7311988086	0.4459689516
166	0.7320796872	0.4450969559
167	0.7317708333	0.4447015677
168	0.7311988086	0.4446851616
169	0.7353760446	0.444114529
170	0.738718663	0.4429953802
171	0.7391142538	0.4421134166
172	0.7393488372	0.4420573753
173	0.7405204461	0.4415572858
174	0.7416775153	0.4409734239
175	0.7423904974	0.4405352565
176	0.7443929564	0.4395377222
177	0.7444876783	0.4392655786
178	0.7452288308	0.4386027184
179	0.7471264368	0.4379343224
180	0.7462465246	0.4375499872
181	0.7467556544	0.4374153998
182	0.7476843275	0.437045583
183	0.7481481481	0.4364750496
184	0.7486571587	0.435890489
185	0.7486571587	0.435502914
186	0.7489818586	0.4354253307
187	0.7500925583	0.4351497677
188	0.7514343883	0.434620067
189	0.7520798669	0.4343280723
190	0.7522630704	0.4335584072
191	0.7531844194	0.432973204
192	0.7543827274	0.4327134817
193	0.7562280864	0.4321942308
194	0.7567766919	0.4315798129
195	0.7573746313	0.4310223382
196	0.7579218865	0.4307111734
197	0.7567766919	0.4301499278
198	0.7582781457	0.4297850244
199	0.7574138884	0.429199876
200	0.759749816	0.4287070406
201	0.7599410898	0.4282698273
202	0.760905577	0.4276757381
203	0.7617820324	0.4275318207
204	0.7617820324	0.4273501921
205	0.7629207283	0.4266401374
206	0.7642515631	0.4259895156
207	0.7645653373	0.4255972752
208	0.764284402	0.4254919016
209	0.7644574995	0.4254024243
210	0.7652461425	0.4248551476
211	0.7647058824	0.4243067955
212	0.7644787645	0.4238075077
213	0.7640780272	0.4234968652
214	0.7658635277	0.4227328768
