iter	Passed	Remaining
0	21	4648
1	40	4365
2	56	3978
3	71	3765
4	85	3581
5	100	3507
6	111	3325
7	125	3251
8	136	3122
9	151	3101
10	164	3059
11	179	3039
12	193	3000
13	209	3001
14	220	2937
15	232	2891
16	249	2904
17	260	2847
18	273	2816
19	286	2796
20	302	2796
21	316	2774
22	328	2744
23	341	2721
24	354	2694
25	368	2678
26	381	2658
27	395	2638
28	406	2609
29	420	2591
30	430	2557
31	444	2539
32	455	2509
33	467	2487
34	480	2470
35	488	2430
36	498	2399
37	509	2374
38	520	2347
39	534	2340
40	545	2316
41	555	2286
42	567	2268
43	573	2229
44	588	2222
45	599	2201
46	609	2179
47	620	2160
48	625	2118
49	636	2100
50	647	2082
51	653	2048
52	666	2038
53	681	2031
54	692	2013
55	703	1997
56	715	1982
57	726	1966
58	740	1958
59	751	1940
60	760	1918
61	771	1903
62	785	1894
63	788	1860
64	801	1849
65	810	1828
66	817	1805
67	830	1794
68	841	1781
69	856	1773
70	866	1758
71	873	1734
72	886	1723
73	896	1709
74	907	1693
75	921	1684
76	933	1672
77	947	1665
78	966	1664
79	978	1651
80	987	1633
81	994	1612
82	1006	1601
83	1018	1587
84	1032	1578
85	1043	1564
86	1057	1555
87	1068	1541
88	1079	1528
89	1086	1508
90	1098	1496
91	1110	1484
92	1116	1464
93	1128	1452
94	1141	1442
95	1150	1425
96	1161	1413
97	1174	1401
98	1187	1390
99	1200	1380
100	1208	1363
101	1221	1353
102	1229	1337
103	1241	1325
104	1252	1312
105	1262	1298
106	1273	1285
107	1287	1275
108	1296	1260
109	1309	1250
110	1321	1238
111	1333	1226
112	1345	1214
113	1356	1201
114	1366	1188
115	1379	1177
116	1388	1163
117	1401	1152
118	1414	1140
119	1428	1131
120	1442	1120
121	1450	1105
122	1461	1093
123	1472	1080
124	1486	1069
125	1498	1058
126	1507	1044
127	1521	1034
128	1532	1021
129	1549	1012
130	1565	1004
131	1575	990
132	1586	977
133	1599	967
134	1610	954
135	1624	943
136	1628	927
137	1638	914
138	1646	900
139	1659	889
140	1673	878
141	1683	865
142	1697	854
143	1710	843
144	1723	832
145	1736	820
146	1750	809
147	1765	799
148	1778	787
149	1792	776
150	1807	766
151	1819	754
152	1836	744
153	1852	733
154	1864	721
155	1878	710
156	1892	699
157	1903	686
158	1915	674
159	1926	662
160	1934	648
161	1944	636
162	1957	624
163	1970	612
164	1985	601
165	1995	589
166	2008	577
167	2019	565
168	2031	552
169	2045	541
170	2059	529
171	2082	520
172	2095	508
173	2108	496
174	2122	485
175	2130	472
176	2141	459
177	2152	447
178	2163	435
179	2178	423
180	2189	411
181	2197	398
182	2202	385
183	2212	372
184	2225	360
185	2239	349
186	2248	336
187	2258	324
188	2269	312
189	2278	299
190	2288	287
191	2299	275
192	2307	263
193	2320	251
194	2333	239
195	2344	227
196	2354	215
197	2366	203
198	2378	191
199	2392	179
200	2405	167
201	2419	155
202	2432	143
203	2443	131
204	2455	119
205	2466	107
206	2479	95
207	2492	83
208	2503	71
209	2509	59
210	2520	47
211	2533	35
212	2546	23
213	2560	11
214	2571	0
