Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Annual Income_nan,Years in current job_nan,Bankruptcies_nan,Credit Score_nan,Term_Long Term,Term_Short Term,Credit Default
Rent,-0.7954615525430189,< 1 year,-0.11095342154390785,1.3993951557462996,-1.60725765610231,-1.049696376974,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3673939189123404,-0.5961746791843539,-0.3901111873765225,4.175965959046165,0,0,0,0,0,1,1
Rent,-0.31207837138083866,3 years,-0.11095342154390785,-0.026674289431710546,-0.7409620449916885,-1.0296014684488264,1.6647792271904904,2.545731972691612,debt consolidation,Short Term,-0.36696389753760605,-0.4834958100227043,-0.45618547996335823,-0.2237745388844534,0,0,0,0,0,1,0
Own Home,-0.40875006908465633,10+ years,-0.11095342154390785,-0.6378469087937149,-0.6841557754106641,-1.1629176899330016,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36982588274477224,-0.7220043977972302,0.05681264446083064,-0.2265565436254781,1,0,0,1,0,1,1
Rent,0.1533285656106189,10+ years,-0.11095342154390785,0.1770499170222909,1.1194432837868595,-0.512082592923642,1.6647792271904904,2.545731972691612,debt consolidation,Short Term,-0.3545056821330432,-0.23309168115365944,0.08071007261723695,-0.25576759340623784,0,0,0,0,0,1,1
Rent,-0.746199729575173,10+ years,-0.11095342154390785,0.3807741234762923,0.7644040989054572,-0.7100324380969956,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.3642142416318529,-0.2878470361414955,-0.30558975726544335,-0.27524162659341095,0,0,0,0,1,0,1
Rent,-0.28871913101613583,10+ years,-0.11095342154390785,-0.8415711152477163,0.15373670090944522,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.3551148790805835,1.0689619676946422,-0.3559839829566721,-0.2404665673306018,0,0,0,0,1,0,0
Home Mortgage,-0.40875006908465633,5 years,-0.11095342154390785,-0.23039849588571198,-1.0960012298730908,-0.09128920992634638,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3619807492031446,-0.10594687759566027,-0.026283325023375173,-0.2265565436254781,1,0,0,1,0,1,0
Home Mortgage,4.65756297724505,9 years,-0.11095342154390785,2.8254646009243096,1.7869169513638958,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.35214607766655226,1.5154930831522135,5.437171855281769,-0.23072955073701523,0,0,0,0,1,0,1
Own Home,-0.40875006908465633,10+ years,-0.11095342154390785,0.7882225363842952,-0.31491502313400543,-0.2789666578312343,1.6647792271904904,-0.3370990397177327,debt consolidation,Short Term,-0.35893683187589853,0.08001808896237236,1.552036991425874,-0.2265565436254781,1,0,0,1,0,1,0
Rent,-0.6768380951307225,10+ years,-0.11095342154390785,-1.4527437346097205,-0.840373016758481,-0.738900123851443,-0.3409788778582933,-0.3370990397177327,other,Long Term,-0.36084780827355606,-0.4789527893031896,-0.7624079628657998,-0.23003404955175905,0,0,0,0,1,0,0
Rent,-0.3274865806700295,7 years,-0.11095342154390785,-1.4527437346097205,0.23894610528098198,-0.2728182156705468,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,2.76051988315993,0.20208188250512474,0.15173155208557432,-0.25089908510944453,0,0,0,0,1,0,0
Rent,-0.40875006908465633,8 years,-0.11095342154390785,1.3993951557462996,-0.49953539927233476,0.23720255965867715,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36350856552972477,0.36694571335277953,2.7815387074167015,-0.2265565436254781,1,0,0,1,0,1,0
Own Home,-0.5883149696471499,8 years,-0.11095342154390785,0.1770499170222909,0.3525586444430308,0.4636451855766801,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.35850956704843817,-0.15161619114446673,-0.3739280167302544,-0.22447004006970958,0,0,0,0,0,1,0
Rent,-0.8234630098089523,4 years,-0.11095342154390785,-1.2490195281557193,-1.4794435495450051,-0.26944407058236464,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36855029049375737,-0.4964075531202726,-1.067624238266919,-0.22099253414342865,0,0,0,0,0,1,1
Rent,-0.40875006908465633,< 1 year,-0.11095342154390785,-0.026674289431710546,-1.2664200386161637,-0.039177413564421865,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3586935665789735,-0.14498098983043856,0.3078614160407622,-0.2265565436254781,1,0,0,1,0,1,1
Home Mortgage,0.4096135082588753,3 years,-0.11095342154390785,0.1770499170222909,0.679194694533921,-0.962118566685183,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3620937676413761,-0.23016262832134068,-1.018320070702123,-0.23907556496008942,0,0,0,0,0,1,1
Rent,-0.40875006908465633,8 years,-0.11095342154390785,-0.23039849588571198,-1.5220482517307736,-0.9954851125572066,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.36175609060031866,-0.7978011119070295,-0.9127521336883841,-0.2265565436254781,1,0,0,1,0,1,1
Home Mortgage,-0.4721854691871104,10+ years,-0.11095342154390785,-0.8415711152477163,1.2614589577394206,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.35689698689318444,0.12228013697154275,0.021176128788996666,4.433301397590952,0,0,0,0,1,0,1
Home Mortgage,-0.40875006908465633,10+ years,-0.11095342154390785,0.1770499170222909,0.42356648141931125,1.2419479859173659,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.3608443625894637,0.9326713461091989,-0.4535022599598319,-0.2265565436254781,1,0,0,1,1,0,1
Rent,-0.6738009000304492,5 years,-0.11095342154390785,-0.6378469087937149,-1.465241982149749,-0.5428248037270795,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.3628931663508181,-0.16608212554081642,-0.08606882072694606,-0.2842831420017414,0,0,0,0,1,0,0
Rent,-0.40875006908465633,< 1 year,-0.11095342154390785,1.603119362200301,-0.5421401014581031,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.3526167581135772,0.4927156553772413,3.1762235998104016,-0.2265565436254781,1,0,0,1,1,0,1
Home Mortgage,0.21918384473605487,10+ years,-0.11095342154390785,1.3993951557462996,-0.38592286011028615,1.6448209094463162,-0.3409788778582933,-0.3370990397177327,debt consolidation,Short Term,-0.3634899588356257,-0.3118174480957774,-0.587663260136148,-0.2237745388844534,0,0,0,0,0,1,0
Rent,-0.0500153502491356,3 years,-0.11095342154390785,-1.0452953217017178,-0.6983573428059201,-1.0589940212169908,-0.3409788778582933,-0.3370990397177327,debt consolidation,Long Term,-0.36149490774611304,-0.3733873341628856,-0.3294871854218497,-0.256463094591494,0,0,0,0,1,0,0
